prod,htc,nhtc,rat,dur,fem,mle,pair,fam
11,9,2,0.818181818,7,mrace,mrace,mm,mm11
15,11,4,0.733333333,8,mrace,mrace,mm,mm11
17,14,3,0.823529412,8,mrace,mrace,mm,mm11
32,12,20,0.375,8,mrace,mrace,mm,mm11
25,0,25,0,na,mrace,mrace,mm,mm11
22,10,12,0.454545455,8,mrace,mrace,mm,mm11
13,5,8,0.384615385,10,mrace,mrace,mm,mm11
18,6,12,0.333333333,9,mrace,mrace,mm,mm11
22,0,22,0,na,mrace,mrace,mm,mm11
20,14,6,0.7,9,mrace,mrace,mm,mm11
23,8,15,0.347826087,11,mrace,mrace,mm,mm11
21,16,5,0.761904762,11,mrace,mrace,mm,mm11
23,0,23,0,na,mrace,mrace,mm,mm11
38,na,na,na,na,mrace,mrace,mm,mm11
21,6,15,0.285714286,12,mrace,mrace,mm,mm11
30,22,8,0.733333333,19,mrace,mrace,mm,mm11
27,7,20,0.259259259,13,mrace,mrace,mm,mm11
23,na,na,na,na,mrace,mrace,mm,mm11
18,na,na,na,na,mrace,mrace,mm,mm11
20,15,5,0.75,9,mrace,mrace,mm,mm31
14,10,4,0.714285714,8,mrace,mrace,mm,mm31
12,6,6,0.5,10,mrace,mrace,mm,mm31
21,16,5,0.761904762,10,mrace,mrace,mm,mm31
9,5,4,0.555555556,10,mrace,mrace,mm,mm31
4,2,2,0.5,11,mrace,mrace,mm,mm31
11,11,0,1,10,mrace,mrace,mm,mm31
15,11,4,0.733333333,10,mrace,mrace,mm,mm31
15,11,4,0.733333333,9,mrace,mrace,mm,mm31
13,0,13,0,na,mrace,mrace,mm,mm31
15,11,4,0.733333333,8,mrace,mrace,mm,mm31
22,19,3,0.863636364,10,mrace,mrace,mm,mm31
14,9,5,0.642857143,10,mrace,mrace,mm,mm31
11,na,na,na,na,mrace,mrace,mm,mm31
21,9,12,0.428571429,12,mrace,mrace,mm,mm31
21,17,4,0.80952381,11,mrace,mrace,mm,mm31
12,5,7,0.416666667,12,mrace,mrace,mm,mm31
18,na,na,na,na,mrace,mrace,mm,mm31
28,14,14,0.5,8,mrace,mrace,mm,mm41
19,10,9,0.526315789,8,mrace,mrace,mm,mm41
12,0,12,0,na,mrace,mrace,mm,mm41
12,12,0,1,10,mrace,mrace,mm,mm41
9,0,9,0,na,mrace,mrace,mm,mm41
12,5,7,0.416666667,8,mrace,mrace,mm,mm41
13,0,13,0,na,mrace,mrace,mm,mm41
17,8,9,0.470588235,9,mrace,mrace,mm,mm41
9,6,3,0.666666667,8,mrace,mrace,mm,mm41
11,6,5,0.545454545,8,mrace,mrace,mm,mm41
22,6,16,0.272727273,6,mrace,mrace,mm,mm41
17,10,7,0.588235294,11,mrace,mrace,mm,mm41
10,10,0,1,9,mrace,mrace,mm,mm41
13,9,4,0.692307692,10,mrace,mrace,mm,mm41
7,1,6,0.142857143,na,mrace,mrace,mm,mm41
14,6,8,0.428571429,19,mrace,mrace,mm,mm41
14,10,4,0.714285714,16,mrace,mrace,mm,mm41
9,3,6,0.333333333,15,mrace,mrace,mm,mm41
10,10,0,1,15,mrace,mrace,mm,mm41
9,na,na,na,na,mrace,mrace,mm,mm41
12,na,na,na,na,mrace,mrace,mm,mm41
19,na,na,na,na,mrace,mrace,mm,mm41
37,2,35,0.054054054,12,mrace,mrace,mm,mm51
23,15,8,0.652173913,10,mrace,mrace,mm,mm51
15,3,12,0.2,10,mrace,mrace,mm,mm51
28,13,15,0.464285714,9,mrace,mrace,mm,mm51
36,22,14,0.611111111,7,mrace,mrace,mm,mm51
26,0,26,0,na,mrace,mrace,mm,mm51
32,8,24,0.25,6,mrace,mrace,mm,mm51
14,10,4,0.714285714,10,mrace,mrace,mm,mm61
9,3,6,0.333333333,8,mrace,mrace,mm,mm61
17,7,10,0.411764706,10,mrace,mrace,mm,mm61
12,6,6,0.5,10,mrace,mrace,mm,mm61
6,0,6,0,na,mrace,mrace,mm,mm61
14,8,6,0.571428571,11,mrace,mrace,mm,mm61
22,0,22,0,na,mrace,mrace,mm,mm61
6,6,0,1,9,mrace,mrace,mm,mm61
7,0,7,0,na,mrace,mrace,mm,mm61
18,11,7,0.611111111,na,mrace,mrace,mm,mm61
21,17,4,0.80952381,14,mrace,mrace,mm,mm61
16,16,0,1,12,mrace,mrace,mm,mm61
28,25,3,0.892857143,16,mrace,mrace,mm,mm61
9,na,na,na,na,mrace,mrace,mm,mm61
9,na,na,na,na,mrace,mrace,mm,mm61
16,na,na,na,na,mrace,mrace,mm,mm61
4,4,0,1,9,mrace,mrace,mm,mm71
16,14,2,0.875,10,mrace,mrace,mm,mm71
16,4,12,0.25,9,mrace,mrace,mm,mm71
18,8,10,0.444444444,9,mrace,mrace,mm,mm71
14,10,4,0.714285714,10,mrace,mrace,mm,mm71
12,7,5,0.583333333,0,mrace,mrace,mm,mm71
12,4,8,0.333333333,6,mrace,mrace,mm,mm71
17,15,2,0.882352941,9,mrace,mrace,mm,mm71
22,6,16,0.272727273,8,mrace,mrace,mm,mm71
11,0,11,0,na,mrace,mrace,mm,mm71
24,0,24,0,na,mrace,mrace,mm,mm71
15,0,15,0,na,mrace,mrace,mm,mm71
15,0,15,0,na,mrace,mrace,mm,mm71
14,0,14,0,na,mrace,mrace,mm,mm71
27,6,21,0.222222222,na,mrace,mrace,mm,mm71
23,16,7,0.695652174,12,mrace,mrace,mm,mm71
26,22,4,0.846153846,11,mrace,mrace,mm,mm71
12,7,5,0.583333333,17,mrace,mrace,mm,mm71
26,3,23,0.115384615,14,mrace,mrace,mm,mm71
30,na,na,na,na,mrace,mrace,mm,mm71
20,17,3,0.85,9,mrace,mrace,mm,mm81
10,8,2,0.8,10,mrace,mrace,mm,mm81
22,17,5,0.772727273,6,mrace,mrace,mm,mm81
13,4,9,0.307692308,13,mrace,mrace,mm,mm81
10,7,3,0.7,12,mrace,mrace,mm,mm81
15,13,2,0.866666667,13,mrace,mrace,mm,mm81
15,9,6,0.6,11,mrace,mrace,mm,mm81
11,0,11,0,na,mrace,mrace,mm,mm81
16,na,na,na,na,mrace,mrace,mm,mm81
26,21,5,0.807692308,9,mrace,mrace,mm,owm12
11,10,1,0.909090909,10,mrace,mrace,mm,owm12
9,5,4,0.555555556,9,mrace,mrace,mm,owm12
14,12,2,0.857142857,6,mrace,mrace,mm,owm12
20,10,10,0.5,8,mrace,mrace,mm,owm12
13,7,6,0.538461538,9,mrace,mrace,mm,owm12
11,10,1,0.909090909,9,mrace,mrace,mm,owm12
13,12,1,0.923076923,8,mrace,mrace,mm,owm12
14,13,1,0.928571429,7,mrace,mrace,mm,owm12
20,0,20,0,na,mrace,mrace,mm,owm12
10,0,10,0,na,mrace,mrace,mm,owm12
17,6,11,0.352941176,9,mrace,mrace,mm,owm12
9,1,8,0.111111111,na,mrace,mrace,mm,owm12
24,19,5,0.791666667,19,mrace,mrace,mm,owm12
8,8,0,1,17,mrace,mrace,mm,owm12
26,15,11,0.576923077,10,mrace,mrace,mm,owm21
