prod,htc,fem,mle,pair,value
10,0,drace,drace,dd,2
10,2,drace,drace,dd,1
10,3,drace,drace,dd,1
10,4,drace,drace,dd,1
10,7,drace,drace,dd,1
10,8,drace,drace,dd,1
10,9,drace,drace,dd,1
10,na,drace,drace,dd,1
11,0,drace,drace,dd,2
11,6,drace,drace,dd,1
11,7,drace,drace,dd,1
11,na,drace,drace,dd,1
12,0,drace,drace,dd,2
12,na,drace,drace,dd,1
13,1,drace,drace,dd,1
13,2,drace,drace,dd,1
13,na,drace,drace,dd,1
14,0,drace,drace,dd,1
14,11,drace,drace,dd,1
15,0,drace,drace,dd,2
15,14,drace,drace,dd,1
15,4,drace,drace,dd,1
15,8,drace,drace,dd,2
16,0,drace,drace,dd,1
16,10,drace,drace,dd,2
16,na,drace,drace,dd,1
18,0,drace,drace,dd,1
20,10,drace,drace,dd,1
20,na,drace,drace,dd,1
21,13,drace,drace,dd,1
3,0,drace,drace,dd,2
3,1,drace,drace,dd,1
5,2,drace,drace,dd,2
5,5,drace,drace,dd,2
6,0,drace,drace,dd,1
6,1,drace,drace,dd,1
6,6,drace,drace,dd,1
6,na,drace,drace,dd,1
7,0,drace,drace,dd,5
7,1,drace,drace,dd,1
7,5,drace,drace,dd,1
8,0,drace,drace,dd,3
8,1,drace,drace,dd,1
8,4,drace,drace,dd,1
8,5,drace,drace,dd,1
8,6,drace,drace,dd,1
9,0,drace,drace,dd,1
9,1,drace,drace,dd,1
9,3,drace,drace,dd,1
10,0,drace,mrace,dm,4
10,1,drace,mrace,dm,1
10,2,drace,mrace,dm,1
10,6,drace,mrace,dm,1
11,0,drace,mrace,dm,2
12,0,drace,mrace,dm,3
12,2,drace,mrace,dm,2
13,0,drace,mrace,dm,3
13,2,drace,mrace,dm,1
14,1,drace,mrace,dm,1
15,0,drace,mrace,dm,3
15,5,drace,mrace,dm,1
16,0,drace,mrace,dm,1
16,8,drace,mrace,dm,1
17,0,drace,mrace,dm,1
18,0,drace,mrace,dm,1
