succ,fail,tot,rsucc,rfail,stg,food,pair,fem,mle,fam
10,0,10,1,0,acc,mik,mm,mrace,mrace,mm1.1
10,0,10,1,0,sec,mik,mm,mrace,mrace,mm1.1
9,1,10,0.9,0.1,adh,mik,mm,mrace,mrace,mm1.1
0,10,10,0,1,acc,dic,mm,mrace,mrace,mm1.1
0,10,10,0,1,sec,dic,mm,mrace,mrace,mm1.1
0,10,10,0,1,adh,dic,mm,mrace,mrace,mm1.1
10,0,10,1,0,acc,mik,mm,mrace,mrace,mm3.1
8,2,10,0.8,0.2,sec,mik,mm,mrace,mrace,mm3.1
7,3,10,0.7,0.3,adh,mik,mm,mrace,mrace,mm3.1
0,10,10,0,1,acc,dic,mm,mrace,mrace,mm3.1
0,10,10,0,1,sec,dic,mm,mrace,mrace,mm3.1
0,10,10,0,1,adh,dic,mm,mrace,mrace,mm3.1
10,0,10,1,0,acc,mik,mm,mrace,mrace,mm4.1
10,0,10,1,0,sec,mik,mm,mrace,mrace,mm4.1
9,1,10,0.9,0.1,adh,mik,mm,mrace,mrace,mm4.1
0,10,10,0,1,acc,dic,mm,mrace,mrace,mm4.1
0,10,10,0,1,sec,dic,mm,mrace,mrace,mm4.1
0,10,10,0,1,adh,dic,mm,mrace,mrace,mm4.1
10,0,10,1,0,acc,mik,mm,mrace,mrace,mm6.1
10,0,10,1,0,sec,mik,mm,mrace,mrace,mm6.1
10,0,10,1,0,adh,mik,mm,mrace,mrace,mm6.1
0,10,10,0,1,acc,dic,mm,mrace,mrace,mm6.1
0,10,10,0,1,sec,dic,mm,mrace,mrace,mm6.1
0,10,10,0,1,adh,dic,mm,mrace,mrace,mm6.1
10,0,10,1,0,acc,mik,mm,mrace,mrace,mm7.1
10,0,10,1,0,sec,mik,mm,mrace,mrace,mm7.1
7,3,10,0.7,0.3,adh,mik,mm,mrace,mrace,mm7.1
0,10,10,0,1,acc,dic,mm,mrace,mrace,mm7.1
0,10,10,0,1,sec,dic,mm,mrace,mrace,mm7.1
0,10,10,0,1,adh,dic,mm,mrace,mrace,mm7.1
10,0,10,1,0,acc,mik,mm,mrace,mrace,owm1.2
9,1,10,0.9,0.1,sec,mik,mm,mrace,mrace,owm1.2
9,1,10,0.9,0.1,adh,mik,mm,mrace,mrace,owm1.2
0,10,10,0,1,acc,dic,mm,mrace,mrace,owm1.2
0,10,10,0,1,sec,dic,mm,mrace,mrace,owm1.2
0,10,10,0,1,adh,dic,mm,mrace,mrace,owm1.2
10,0,10,1,0,acc,mik,mm,mrace,mrace,mm8.1
10,0,10,1,0,sec,mik,mm,mrace,mrace,mm8.1
