dis,race,sex,arr,id
0,drace,fem,sep,sdf2
1.803,drace,fem,sep,sdf5
0,drace,fem,sep,sdf5
0,drace,fem,sep,sdf5
0,drace,fem,sep,sdf5
0,drace,fem,sep,sdf5
0,drace,fem,sep,sdf6
0,drace,fem,sep,sdf6
0,drace,fem,sep,sdf6
0,drace,fem,sep,sdf6
1.25,drace,fem,sep,sdf6
0,drace,fem,sep,sdf8
0,drace,fem,sep,sdf8
0,drace,fem,sep,sdf8
0,drace,fem,sep,sdf8
2.25,drace,fem,sep,sdf8
1,drace,fem,sep,sdf10
0,drace,fem,sep,sdf10
0,drace,fem,sep,sdf10
1.803,drace,fem,sep,sdf10
1.803,drace,fem,sep,sdf10
1,drace,fem,sep,sdf10
1.803,drace,fem,sep,sdf11
1.803,drace,fem,sep,sdf11
0,drace,fem,sep,sdf11
0,drace,fem,sep,sdf11
1.5,drace,fem,sep,sdf11
0.75,drace,fem,sep,sdf12
0.75,drace,fem,sep,sdf12
1.25,drace,fem,sep,sdf12
0,drace,fem,sep,sdf12
2.25,drace,fem,sep,sdf12
0,drace,fem,sep,sdf12
1.803,drace,fem,sep,sdf13
1.803,drace,fem,sep,sdf14
2,drace,fem,sep,sdf14
0,drace,fem,sep,sdf14
3.162,drace,fem,sep,sdf14
1.25,drace,fem,sep,sdf15
0,drace,fem,sep,sdf15
0,drace,fem,sep,sdf15
2,drace,fem,check,cdf1
1.25,drace,fem,check,cdf2
0,drace,fem,check,cdf2
4.242,drace,fem,check,cdf2
0,drace,fem,check,cdf2
1.5,drace,fem,check,cdf3
0,drace,fem,check,cdf3
0,drace,fem,check,cdf3
3.25,drace,fem,check,cdf3
0,drace,fem,check,cdf6
0,drace,fem,check,cdf6
0,drace,fem,check,cdf6
0,drace,fem,check,cdf6
2.462,drace,fem,check,cdf6
0,drace,fem,check,cdf10
2,drace,fem,check,cdf10
3.75,drace,fem,check,cdf10
0.75,drace,fem,check,cdf11
0,drace,fem,check,cdf11
0,drace,fem,check,cdf11
1.25,drace,fem,check,cdf12
2.5,drace,fem,check,cdf13
1.25,drace,fem,check,cdf13
2.75,drace,fem,check,cdf13
