dis,race,sex,arr,id,group
0,drace,fem,sep,sdf2,ds
1.803,drace,fem,sep,sdf5,ds
0,drace,fem,sep,sdf5,ds
0,drace,fem,sep,sdf5,ds
0,drace,fem,sep,sdf5,ds
0,drace,fem,sep,sdf5,ds
0,drace,fem,sep,sdf6,ds
0,drace,fem,sep,sdf6,ds
0,drace,fem,sep,sdf6,ds
0,drace,fem,sep,sdf6,ds
1.25,drace,fem,sep,sdf6,ds
0,drace,fem,sep,sdf8,ds
0,drace,fem,sep,sdf8,ds
0,drace,fem,sep,sdf8,ds
0,drace,fem,sep,sdf8,ds
2.25,drace,fem,sep,sdf8,ds
1,drace,fem,sep,sdf10,ds
0,drace,fem,sep,sdf10,ds
0,drace,fem,sep,sdf10,ds
1.803,drace,fem,sep,sdf10,ds
1.803,drace,fem,sep,sdf10,ds
1,drace,fem,sep,sdf10,ds
1.803,drace,fem,sep,sdf11,ds
1.803,drace,fem,sep,sdf11,ds
0,drace,fem,sep,sdf11,ds
0,drace,fem,sep,sdf11,ds
1.5,drace,fem,sep,sdf11,ds
0.75,drace,fem,sep,sdf12,ds
0.75,drace,fem,sep,sdf12,ds
1.25,drace,fem,sep,sdf12,ds
0,drace,fem,sep,sdf12,ds
2.25,drace,fem,sep,sdf12,ds
0,drace,fem,sep,sdf12,ds
1.803,drace,fem,sep,sdf13,ds
1.803,drace,fem,sep,sdf14,ds
2,drace,fem,sep,sdf14,ds
0,drace,fem,sep,sdf14,ds
3.162,drace,fem,sep,sdf14,ds
1.25,drace,fem,sep,sdf15,ds
0,drace,fem,sep,sdf15,ds
0,drace,fem,sep,sdf15,ds
2,drace,fem,check,cdf1,dc
1.25,drace,fem,check,cdf2,dc
0,drace,fem,check,cdf2,dc
4.242,drace,fem,check,cdf2,dc
0,drace,fem,check,cdf2,dc
1.5,drace,fem,check,cdf3,dc
0,drace,fem,check,cdf3,dc
0,drace,fem,check,cdf3,dc
3.25,drace,fem,check,cdf3,dc
0,drace,fem,check,cdf6,dc
0,drace,fem,check,cdf6,dc
0,drace,fem,check,cdf6,dc
0,drace,fem,check,cdf6,dc
2.462,drace,fem,check,cdf6,dc
0,drace,fem,check,cdf10,dc
2,drace,fem,check,cdf10,dc
3.75,drace,fem,check,cdf10,dc
0.75,drace,fem,check,cdf11,dc
0,drace,fem,check,cdf11,dc
0,drace,fem,check,cdf11,dc
1.25,drace,fem,check,cdf12,dc
2.5,drace,fem,check,cdf13,dc
1.25,drace,fem,check,cdf13,dc
2.75,drace,fem,check,cdf13,dc
2.462,drace,fem,check,cdf13,dc
0,drace,fem,check,cdf13,dc
2.5,drace,fem,check,cdf13,dc
0,drace,fem,check,cdf14,dc
0,drace,fem,check,cdf14,dc
0,drace,fem,check,cdf14,dc
0,drace,fem,check,cdf15,dc
6.105,drace,fem,check,cdf15,dc
2.5,drace,fem,check,cdf15,dc
0,drace,mle,sep,sdm2,ds
0,drace,mle,sep,sdm2,ds
0,drace,mle,sep,sdm2,ds
0,drace,mle,sep,sdm3,ds
0,drace,mle,sep,sdm3,ds
0,drace,mle,sep,sdm3,ds
1.5,drace,mle,sep,sdm3,ds
0,drace,mle,sep,sdm3,ds
0,drace,mle,sep,sdm5,ds
2.25,drace,mle,sep,sdm5,ds
0.75,drace,mle,sep,sdm5,ds
0,drace,mle,sep,sdm5,ds
0.75,drace,mle,sep,sdm5,ds
0.75,drace,mle,sep,sdm5,ds
0,drace,mle,sep,sdm6,ds
3.75,drace,mle,sep,sdm6,ds
0.75,drace,mle,sep,sdm7,ds
1.25,drace,mle,sep,sdm7,ds
0,drace,mle,sep,sdm7,ds
0.75,drace,mle,sep,sdm7,ds
1.5,drace,mle,sep,sdm7,ds
0,drace,mle,sep,sdm9,ds
0.75,drace,mle,sep,sdm9,ds
0,drace,mle,sep,sdm9,ds
1,drace,mle,sep,sdm9,ds
0.75,drace,mle,sep,sdm10,ds
0.75,drace,mle,sep,sdm10,ds
0,drace,mle,sep,sdm10,ds
1.75,drace,mle,sep,sdm10,ds
0,drace,mle,sep,sdm10,ds
0.75,drace,mle,sep,sdm11,ds
1,drace,mle,sep,sdm12,ds
1.5,drace,mle,sep,sdm12,ds
0,drace,mle,sep,sdm12,ds
1.5,drace,mle,sep,sdm12,ds
0.75,drace,mle,sep,sdm13,ds
1.25,drace,mle,sep,sdm13,ds
1.803,drace,mle,sep,sdm14,ds
3.092,drace,mle,sep,sdm15,ds
0,drace,mle,sep,sdm15,ds
0,drace,mle,sep,sdm15,ds
0,drace,mle,check,cdm1,dc
2,drace,mle,check,cdm1,dc
2.5,drace,mle,check,cdm1,dc
1.5,drace,mle,check,cdm1,dc
1.25,drace,mle,check,cdm1,dc
0,drace,mle,check,cdm2,dc
1.25,drace,mle,check,cdm3,dc
1.25,drace,mle,check,cdm4,dc
0,drace,mle,check,cdm4,dc
1.25,drace,mle,check,cdm4,dc
2,drace,mle,check,cdm4,dc
2.5,drace,mle,check,cdm4,dc
0,drace,mle,check,cdm5,dc
1.25,drace,mle,check,cdm5,dc
3,drace,mle,check,cdm5,dc
0,drace,mle,check,cdm6,dc
1.5,drace,mle,check,cdm6,dc
0,drace,mle,check,cdm6,dc
1.25,drace,mle,check,cdm6,dc
0,drace,mle,check,cdm7,dc
2.462,drace,mle,check,cdm7,dc
1.25,drace,mle,check,cdm7,dc
0,drace,mle,check,cdm8,dc
0,drace,mle,check,cdm8,dc
1.25,drace,mle,check,cdm8,dc
4.242,drace,mle,check,cdm10,dc
