lineage,group,group2,level,comparison,species,pair,barrier,order,notes,fst notes,references,intra,inter,strength,fst,stage
Hdk (M x D),Hdk,M vs D,within species,pair 1,Hdk (M x D),H. diekei M-race,habitat,1,host preference (female mixed pop),mean,current study,17,0,1,0.8369,3
Hdk (M x D),Hdk,M vs D,within species,pair 2,Hdk (M x D),H. diekei D-race,habitat,1,host preference (female mixed pop),mean,current study,32,0,1,0.8369,3
Hdk (M x D),Hdk,M vs D,within species,pair 1,Hdk (M x D),H. diekei M-race,sexual,2,non choice mating (success),mean,current study,0.9,0.2,0.636363636,0.8369,3
Hdk (M x D),Hdk,M vs D,within species,pair 2,Hdk (M x D),H. diekei D-race,sexual,2,non choice mating (success),mean,current study,0.6,0.4,0.2,0.8369,3
Hdk (M x D),Hdk,M vs D,within species,pair 1,Hdk (M x D),H. diekei M-race,prehatching,3,egg hatching rate,mean,current study,0.434,0.43,0.00462963,0.8369,3
Hdk (M x D),Hdk,M vs D,within species,pair 2,Hdk (M x D),H. diekei D-race,prehatching,3,egg hatching rate,mean,current study,0.311,0.104,0.498795181,0.8369,3
Hdk (M x D),Hdk,M vs D,within species,pair 1,Hdk (M x D),H. diekei M-race,hybrid inviability,4,survivorship to adulthood reared on maternal host,mean,current study,0.89,0.58,0.210884354,0.8369,3
Hdk (M x D),Hdk,M vs D,within species,pair 2,Hdk (M x D),H. diekei D-race,hybrid inviability,4,survivorship to adulthood reared on maternal host,mean,current study,0.66,0.2,0.534883721,0.8369,3
Hdk (M x L),Hdk,M vs L,within species,pair 1,Hdk (M x L),H. diekei M-race,habitat,1,"host preference (female mixed pop, cibinong + bogor)",mean,Matsubayashi et al. 2011,86,0,1,0.3586,1
Hdk (M x L),Hdk,M vs L,within species,pair 2,Hdk (M x L),H. diekei L-race,habitat,1,"host preference (female mixed pop, cibinong + bogor)",mean,Matsubayashi et al. 2011,68,0,1,0.3586,1
Hdk (M x L),Hdk,M vs L,within species,pair 1,Hdk (M x L),H. diekei M-race,sexual,2,non choice mating (success),mean,Matsubayashi et al. 2011,0.63,0.74,-0.080291971,0.3586,1
Hdk (M x L),Hdk,M vs L,within species,pair 2,Hdk (M x L),H. diekei L-race,sexual,2,non choice mating (success),mean,Matsubayashi et al. 2011,0.79,0.76,0.019354839,0.3586,1
Hdk (M x L),Hdk,M vs L,within species,pair 1,Hdk (M x L),H. diekei M-race,prehatching,3,egg hatching rate,mean,Matsubayashi et al. 2011,0.723,0.702,0.014736842,0.3586,1
Hdk (M x L),Hdk,M vs L,within species,pair 2,Hdk (M x L),H. diekei L-race,prehatching,3,egg hatching rate,mean,Matsubayashi et al. 2011,0.643,0.678,-0.026495079,0.3586,1
Hdk (M x L),Hdk,M vs L,within species,pair 1,Hdk (M x L),H. diekei M-race,hybrid inviability,4,survivorship to adulthood reared on maternal host,mean,Matsubayashi et al. 2011,0.64,0.65,-0.007751938,0.3586,1
Hdk (M x L),Hdk,M vs L,within species,pair 2,Hdk (M x L),H. diekei L-race,hybrid inviability,4,survivorship to adulthood reared on maternal host,mean,Matsubayashi et al. 2011,0.81,0.79,0.0125,0.3586,1
Hvp x Hen x Hse x Hpl,Other,H. spp,between species,pair 1,Hvp x Hen,H. vigintioctopunctata,habitat,1,"host preference (mixed sex on most suitable host, s. torvum, padang)",estimated,Nakano et al. 1994,6,6,0,1,5
Hvp x Hen x Hse x Hpl,Other,H. spp,between species,pair 2,Hvp x Hen,H. enneasticta,habitat,1,"host preference (mixed sex on most suitable host, s. torvum, padang)",estimated,Nakano et al. 1994,6,6,0,1,5
Hvp x Hen x Hse x Hpl,Other,H. spp,between species,pair 1,Hvp x Hse,H. vigintioctopunctata,habitat,1,"host preference (mixed sex on most suitable host, s. torvum, padang)",estimated,Nakano et al. 1994,6,0,1,1,5
Hvp x Hen x Hse x Hpl,Other,H. spp,between species,pair 2,Hvp x Hse,H. septima,habitat,1,"host preference (mixed sex on most suitable host, m. charantia, padang)",estimated,Nakano et al. 1994,6,0,1,1,5
Hvp x Hen x Hse x Hpl,Other,H. spp,between species,pair 1,Hvp x Hpl,H. vigintioctopunctata,habitat,1,"host preference (mixed sex on most suitable host, s. torvum, padang)",estimated,Nakano et al. 1994,6,0,1,1,5
Hvp x Hen x Hse x Hpl,Other,H. spp,between species,pair 2,Hvp x Hpl,H. pusillanima,habitat,1,"host preference (mixed sex on most suitable host, c. moschata, padang)",estimated,Nakano et al. 1994,6,0,1,1,5
Hvp x Hen x Hse x Hpl,Other,H. spp,between species,pair 1,Hen x Hse,H. enneasticta,habitat,1,"host preference (mixed sex on most suitable host, s. torvum, padang)",estimated,Nakano et al. 1994,6,0,1,1,5
Hvp x Hen x Hse x Hpl,Other,H. spp,between species,pair 2,Hen x Hse,H. septima,habitat,1,"host preference (mixed sex on most suitable host, m. charantia, padang)",estimated,Nakano et al. 1994,6,0,1,1,5
Hvp x Hen x Hse x Hpl,Other,H. spp,between species,pair 1,Hen x Hpl,H. enneasticta,habitat,1,"host preference (mixed sex on most suitable host, s. torvum, padang)",estimated,Nakano et al. 1994,6,0,1,1,5
Hvp x Hen x Hse x Hpl,Other,H. spp,between species,pair 2,Hen x Hpl,H. pusillanima,habitat,1,"host preference (mixed sex on most suitable host, c. moschata, padang)",estimated,Nakano et al. 1994,6,0,1,1,5
Hvp x Hen x Hse x Hpl,Other,H. spp,between species,pair 1,Hse x Hpl,H. septima,habitat,1,"host preference (mixed sex on most suitable host, m. charantia, padang)",estimated,Nakano et al. 1994,6,0,1,1,5
Hvp x Hen x Hse x Hpl,Other,H. spp,between species,pair 2,Hse x Hpl,H. pusillanima,habitat,1,"host preference (mixed sex on most suitable host, c. moschata, padang)",estimated,Nakano et al. 1994,6,0,1,1,5
Hvp x Hen x Hse x Hpl,Other,H. spp,between species,pair 1,Hvp x Hen,H. vigintioctopunctata,sexual,2,choice mating (success),estimated,Nakano et al. 1994,0.2325,0.0053,0.955424727,1,5
Hvp x Hen x Hse x Hpl,Other,H. spp,between species,pair 2,Hvp x Hen,H. enneasticta,sexual,2,choice mating (success),estimated,Nakano et al. 1994,0.1497,0,1,1,5
Hvp x Hen x Hse x Hpl,Other,H. spp,between species,pair 1,Hvp x Hse,H. vigintioctopunctata,sexual,2,choice mating (success),estimated,Nakano et al. 1994,0.2727,0,1,1,5
Hvp x Hen x Hse x Hpl,Other,H. spp,between species,pair 2,Hvp x Hse,H. septima,sexual,2,choice mating (success),estimated,Nakano et al. 1994,0.3555,0,1,1,5
Hvp x Hen x Hse x Hpl,Other,H. spp,between species,pair 1,Hvp x Hpl,H. vigintioctopunctata,sexual,2,choice mating (success),estimated,Nakano et al. 1994,0.2481,0.0048,0.962040332,1,5
Hvp x Hen x Hse x Hpl,Other,H. spp,between species,pair 2,Hvp x Hpl,H. pusillanima,sexual,2,choice mating (success),estimated,Nakano et al. 1994,0.149,0,1,1,5
Hvp x Hen x Hse x Hpl,Other,H. spp,between species,pair 1,Hen x Hse,H. enneasticta,sexual,2,choice mating (success),estimated,Nakano et al. 1994,0.1496,0,1,1,5
Hvp x Hen x Hse x Hpl,Other,H. spp,between species,pair 2,Hen x Hse,H. septima,sexual,2,choice mating (success),estimated,Nakano et al. 1994,0.4,0.0068,0.966568338,1,5
Hvp x Hen x Hse x Hpl,Other,H. spp,between species,pair 1,Hen x Hpl,H. enneasticta,sexual,2,choice mating (success),estimated,Nakano et al. 1994,0.0847,0.0435,0.321372855,1,5
Hvp x Hen x Hse x Hpl,Other,H. spp,between species,pair 2,Hen x Hpl,H. pusillanima,sexual,2,choice mating (success),estimated,Nakano et al. 1994,0.2609,0,1,1,5
