lineage,level,comparison,row,species,pair 1,pair2,barrier,order,notes,fst notes,references,intra 1,inter 1,strength 1,intra 2,inter 3,strength 2,fst,stage
Hdk (M x D),within species,pair 1,1,Hdk (M x D),H. diekei M-race,H. diekei D-race,habitat,1,host preference (female mixed pop),mean,current study,17,0,1,32,0,1,0.8369,3
Hdk (M x D),within species,pair 1,3,Hdk (M x D),H. diekei M-race,H. diekei D-race,sexual,2,non choice mating (success),mean,current study,0.9,0.2,0.636363636,0.6,0.4,0.2,0.8369,3
Hdk (M x D),within species,pair 1,5,Hdk (M x D),H. diekei M-race,H. diekei D-race,prehatching,3,egg hatching rate,mean,current study,0.434,0.43,0.00462963,0.311,0.104,0.498795181,0.8369,3
Hdk (M x D),within species,pair 1,7,Hdk (M x D),H. diekei M-race,H. diekei D-race,hybrid inviability,4,survivorship to adulthood reared on maternal host,mean,current study,0.89,0.58,0.210884354,0.66,0.2,0.534883721,0.8369,3
Hdk (M x L),within species,pair 1,9,Hdk (M x L),H. diekei M-race,H. diekei L-race,habitat,1,"host preference (female mixed pop, cibinong + bogor)",mean,Matsubayashi et al. 2011,86,0,1,68,0,1,0.3586,1
Hdk (M x L),within species,pair 1,11,Hdk (M x L),H. diekei M-race,H. diekei L-race,sexual,2,non choice mating (success),mean,Matsubayashi et al. 2011,0.63,0.74,-0.080291971,0.79,0.76,0.019354839,0.3586,1
Hdk (M x L),within species,pair 1,13,Hdk (M x L),H. diekei M-race,H. diekei L-race,prehatching,3,egg hatching rate,mean,Matsubayashi et al. 2011,0.723,0.702,0.014736842,0.643,0.678,-0.026495079,0.3586,1
Hdk (M x L),within species,pair 1,15,Hdk (M x L),H. diekei M-race,H. diekei L-race,hybrid inviability,4,survivorship to adulthood reared on maternal host,mean,Matsubayashi et al. 2011,0.64,0.65,-0.007751938,0.81,0.79,0.0125,0.3586,1
Hvp x Hen x Hse x Hpl,between species,pair 1,17,Hvp x Hen,H. vigintioctopunctata,H. enneasticta,habitat,1,"host preference (mixed sex on most suitable host, s. torvum, padang)",estimated,Nakano et al. 1994,6,6,0,6,6,0,1,5
Hvp x Hen x Hse x Hpl,between species,pair 1,19,Hvp x Hse,H. vigintioctopunctata,H. septima,habitat,1,"host preference (mixed sex on most suitable host, s. torvum, padang)",estimated,Nakano et al. 1994,6,0,1,6,0,1,1,5
Hvp x Hen x Hse x Hpl,between species,pair 1,21,Hvp x Hpl,H. vigintioctopunctata,H. pusillanima,habitat,1,"host preference (mixed sex on most suitable host, s. torvum, padang)",estimated,Nakano et al. 1994,6,0,1,6,0,1,1,5
Hvp x Hen x Hse x Hpl,between species,pair 1,23,Hen x Hse,H. enneasticta,H. septima,habitat,1,"host preference (mixed sex on most suitable host, s. torvum, padang)",estimated,Nakano et al. 1994,6,0,1,6,0,1,1,5
Hvp x Hen x Hse x Hpl,between species,pair 1,25,Hen x Hpl,H. enneasticta,H. pusillanima,habitat,1,"host preference (mixed sex on most suitable host, s. torvum, padang)",estimated,Nakano et al. 1994,6,0,1,6,0,1,1,5
Hvp x Hen x Hse x Hpl,between species,pair 1,27,Hse x Hpl,H. septima,H. pusillanima,habitat,1,"host preference (mixed sex on most suitable host, m. charantia, padang)",estimated,Nakano et al. 1994,6,0,1,6,0,1,1,5
Hvp x Hen x Hse x Hpl,between species,pair 1,29,Hvp x Hen,H. vigintioctopunctata,H. enneasticta,sexual,2,choice mating (success),estimated,Nakano et al. 1994,0.2325,0.0053,0.955424727,0.1497,0,1,1,5
Hvp x Hen x Hse x Hpl,between species,pair 1,31,Hvp x Hse,H. vigintioctopunctata,H. septima,sexual,2,choice mating (success),estimated,Nakano et al. 1994,0.2727,0,1,0.3555,0,1,1,5
Hvp x Hen x Hse x Hpl,between species,pair 1,33,Hvp x Hpl,H. vigintioctopunctata,H. pusillanima,sexual,2,choice mating (success),estimated,Nakano et al. 1994,0.2481,0.0048,0.962040332,0.149,0,1,1,5
Hvp x Hen x Hse x Hpl,between species,pair 1,35,Hen x Hse,H. enneasticta,H. septima,sexual,2,choice mating (success),estimated,Nakano et al. 1994,0.1496,0,1,0.4,0.0068,0.966568338,1,5
Hvp x Hen x Hse x Hpl,between species,pair 1,37,Hen x Hpl,H. enneasticta,H. pusillanima,sexual,2,choice mating (success),estimated,Nakano et al. 1994,0.0847,0.0435,0.321372855,0.2609,0,1,1,5
Hvp x Hen x Hse x Hpl,between species,pair 1,39,Hse x Hpl,H. septima,H. pusillanima,sexual,2,choice mating (success),estimated,Nakano et al. 1994,0.3888,0,1,0.1802,0,1,1,5
Hvp x Hen x Hse x Hpl,between species,pair 1,41,Hvp x Hen,H. vigintioctopunctata,H. enneasticta,prehatching,3,egg hatching rate,estimated,Nakano et al. 1994,0.708,0,1,0.788,0,1,1,5
Hvp x Hen x Hse x Hpl,between species,pair 1,43,Hvp x Hse,H. vigintioctopunctata,H. septima,prehatching,3,egg hatching rate,estimated,Nakano et al. 1994,0.708,0,1,0.4,0,1,1,5
Hvp x Hen x Hse x Hpl,between species,pair 1,45,Hvp x Hpl,H. vigintioctopunctata,H. pusillanima,prehatching,3,egg hatching rate,estimated,Nakano et al. 1994,0.708,0,1,0.74,0,1,1,5
Hvp x Hen x Hse x Hpl,between species,pair 1,47,Hen x Hse,H. enneasticta,H. septima,prehatching,3,egg hatching rate,estimated,Nakano et al. 1994,0.788,0,1,0.4,0,1,1,5
Hvp x Hen x Hse x Hpl,between species,pair 1,49,Hen x Hpl,H. enneasticta,H. pusillanima,prehatching,3,egg hatching rate,estimated,Nakano et al. 1994,0.788,0,1,0.74,0,1,1,5
Hvp x Hen x Hse x Hpl,between species,pair 1,51,Hse x Hpl,H. septima,H. pusillanima,prehatching,3,egg hatching rate,estimated,Nakano et al. 1994,0.4,0,1,0.74,0,1,1,5
Hvp x Hen x Hse x Hpl,between species,pair 1,53,Hvp x Hen,H. vigintioctopunctata,H. enneasticta,hybrid inviability,4,survivorship to adulthood reared on maternal host,estimated,NA,NA,0,1,NA,0,1,1,5
Hvp x Hen x Hse x Hpl,between species,pair 1,55,Hvp x Hse,H. vigintioctopunctata,H. septima,hybrid inviability,4,survivorship to adulthood reared on maternal host,estimated,NA,NA,0,1,NA,0,1,1,5
Hvp x Hen x Hse x Hpl,between species,pair 1,57,Hvp x Hpl,H. vigintioctopunctata,H. pusillanima,hybrid inviability,4,survivorship to adulthood reared on maternal host,estimated,NA,NA,0,1,NA,0,1,1,5
Hvp x Hen x Hse x Hpl,between species,pair 1,59,Hen x Hse,H. enneasticta,H. septima,hybrid inviability,4,survivorship to adulthood reared on maternal host,estimated,NA,NA,0,1,NA,0,1,1,5
Hvp x Hen x Hse x Hpl,between species,pair 1,61,Hen x Hpl,H. enneasticta,H. pusillanima,hybrid inviability,4,survivorship to adulthood reared on maternal host,estimated,NA,NA,0,1,NA,0,1,1,5
Hvp x Hen x Hse x Hpl,between species,pair 1,63,Hse x Hpl,H. septima,H. pusillanima,hybrid inviability,4,survivorship to adulthood reared on maternal host,estimated,NA,NA,0,1,NA,0,1,1,5
Hvm x Hpt x Hni x Hya,between species,pair 1,65,Hvm x Hpt,H. vigintioctomaculata,H. pustulosa,seasonal,1,observation on S. bryoniaefolius,estimated,Matsubayashi et al. 2009; Sobel and Chen 2014,NA,NA,0.04895,NA,NA,0.01195,0.98,4
Hvm x Hpt x Hni x Hya,between species,pair 1,67,Hvm x Hpt,H. vigintioctomaculata,H. pustulosa,habitat,2,host preference (from Toyoura),estimated,Matsubayashi et al. 2009; Sobel and Chen 2014,NA,NA,0.72948,NA,NA,0.78181,0.98,4
Hvm x Hpt x Hni x Hya,between species,pair 1,69,Hvm x Hpt,H. vigintioctomaculata,H. pustulosa,sexual,3,choice mating (success),estimated,Matsubayashi et al. 2009; Matsubayashi and Katakura 2007; Sobel and Chen 2014,0.425,0.125,0.54545,0.325,0.05,0.73333,0.98,4
