mik,dic,null,tot,sex,race,pop,rep
1,0,0,1,fem,mrace,pdl,pdl1.1
3,0,0,3,mle,mrace,pdl,pdl1.1
1,0,0,1,fem,mrace,pdl,pdl1.2
3,0,0,3,mle,mrace,pdl,pdl1.2
5,0,0,5,fem,mrace,pdl,pdl2
4,0,0,4,mle,mrace,pdl,pdl2
4,0,0,4,fem,mrace,bdg,bdg1
2,0,0,2,mle,mrace,bdg,bdg1
3,0,0,3,fem,mrace,tbr,tbr1.1
4,0,0,4,mle,mrace,tbr,tbr1.1
3,0,0,3,fem,mrace,tbr,tbr1.2
2,0,2,4,mle,mrace,tbr,tbr1.2
0,2,0,2,fem,drace,pat,pat1.1
0,1,0,1,mle,drace,pat,pat1.1
0,0,1,1,fem,drace,pat,pat1.2
0,2,0,2,mle,drace,pat,pat1.2
0,8,4,12,fem,drace,ran,ran1.1
0,8,4,12,mle,drace,ran,ran1.1
0,12,0,12,fem,drace,ran,ran1.2
0,12,0,12,mle,drace,ran,ran1.2
0,5,0,5,fem,drace,pat,pat2.1
0,11,2,13,mle,drace,pat,pat2.1
0,5,0,5,fem,drace,pat,pat2.2
0,13,0,13,mle,drace,pat,pat2.2
