succ mik,fail mik,tot mik,rsucc mik,rfail mik,succ dic,fail dic,tot dic,rsucc dic,rfail dic,stg mik,pair,fem,mle,fam
10,0,10,1,0,0,10,10,0,1,Larval acceptance,mm,mrace,mrace,mm1.1
10,0,10,1,0,0,10,10,0,1,Survival to the second instar,mm,mrace,mrace,mm1.1
9,1,10,0.9,0.1,0,10,10,0,1,Reaching adulthood,mm,mrace,mrace,mm1.1
10,0,10,1,0,0,10,10,0,1,Larval acceptance,mm,mrace,mrace,mm3.1
8,2,10,0.8,0.2,0,10,10,0,1,Survival to the second instar,mm,mrace,mrace,mm3.1
7,3,10,0.7,0.3,0,10,10,0,1,Reaching adulthood,mm,mrace,mrace,mm3.1
10,0,10,1,0,0,10,10,0,1,Larval acceptance,mm,mrace,mrace,mm4.1
10,0,10,1,0,0,10,10,0,1,Survival to the second instar,mm,mrace,mrace,mm4.1
9,1,10,0.9,0.1,0,10,10,0,1,Reaching adulthood,mm,mrace,mrace,mm4.1
10,0,10,1,0,0,10,10,0,1,Larval acceptance,mm,mrace,mrace,mm6.1
10,0,10,1,0,0,10,10,0,1,Survival to the second instar,mm,mrace,mrace,mm6.1
10,0,10,1,0,0,10,10,0,1,Reaching adulthood,mm,mrace,mrace,mm6.1
10,0,10,1,0,0,10,10,0,1,Larval acceptance,mm,mrace,mrace,mm7.1
10,0,10,1,0,0,10,10,0,1,Survival to the second instar,mm,mrace,mrace,mm7.1
7,3,10,0.7,0.3,0,10,10,0,1,Reaching adulthood,mm,mrace,mrace,mm7.1
10,0,10,1,0,0,10,10,0,1,Larval acceptance,mm,mrace,mrace,owm1.2
9,1,10,0.9,0.1,0,10,10,0,1,Survival to the second instar,mm,mrace,mrace,owm1.2
9,1,10,0.9,0.1,0,10,10,0,1,Reaching adulthood,mm,mrace,mrace,owm1.2
10,0,10,1,0,0,10,10,0,1,Larval acceptance,mm,mrace,mrace,mm8.1
10,0,10,1,0,0,10,10,0,1,Survival to the second instar,mm,mrace,mrace,mm8.1
10,0,10,1,0,0,10,10,0,1,Reaching adulthood,mm,mrace,mrace,mm8.1
10,0,10,1,0,0,10,10,0,1,Larval acceptance,mm,mrace,mrace,owm2.1
10,0,10,1,0,0,10,10,0,1,Survival to the second instar,mm,mrace,mrace,owm2.1
9,1,10,0.9,0.1,0,10,10,0,1,Reaching adulthood,mm,mrace,mrace,owm2.1
10,0,10,1,0,0,10,10,0,1,Larval acceptance,mm,mrace,mrace,mm5.1
10,0,10,1,0,0,10,10,0,1,Survival to the second instar,mm,mrace,mrace,mm5.1
9,1,10,0.9,0.1,0,10,10,0,1,Reaching adulthood,mm,mrace,mrace,mm5.1
10,0,10,1,0,0,10,10,0,1,Larval acceptance,mm,mrace,mrace,mm10.2
10,0,10,1,0,0,10,10,0,1,Survival to the second instar,mm,mrace,mrace,mm10.2
10,0,10,1,0,0,10,10,0,1,Reaching adulthood,mm,mrace,mrace,mm10.2
1,9,10,0.1,0.9,10,0,10,1,0,Larval acceptance,dd,drace,drace,dd9.1
1,9,10,0.1,0.9,7,3,10,0.7,0.3,Survival to the second instar,dd,drace,drace,dd9.1
0,10,10,0,1,6,4,10,0.6,0.4,Reaching adulthood,dd,drace,drace,dd9.1
